Alloy,Elements,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,N,Li,Sn,B,Y,Pd,Actual phase,Phases considered,References
Hf1.375Nb0.25Ta0.25Ti1.75Zr1.375,"['Hf', 'Nb', 'Ta', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.35,0,0.05,0,0.275,0.275,0.05,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1080/21663831.2016.1221861
HfMo0.25NbTaTiZr,"['Hf', 'Mo', 'Nb', 'Ta', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.19047619,0,0.19047619,0.047619048,0.19047619,0.19047619,0.19047619,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.matlet.2016.03.133
HfMo0.5NbTaTiZr,"['Hf', 'Mo', 'Nb', 'Ta', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.181818182,0,0.181818182,0.090909091,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.matlet.2016.03.133
HfMo0.75NbTaTiZr,"['Hf', 'Mo', 'Nb', 'Ta', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.173913043,0,0.173913043,0.130434783,0.173913043,0.173913043,0.173913043,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.matlet.2016.03.133
HfMo1.0NbTaTiZr,"['Hf', 'Mo', 'Nb', 'Ta', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.matlet.2016.03.133
HfMo0.5NbTiV0.5,"['Hf', 'Mo', 'Nb', 'Ti', 'V']",0,0,0,0,0,0,0,0.25,0.125,0.25,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.jallcom.2016.10.014
Al0.0HfNbZrTaTi,"['Al', 'Hf', 'Nb', 'Zr', 'Ta', 'Ti']",0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.jallcom.2014.11.064
HfNbTaZr,"['Hf', 'Nb', 'Ta', 'Zr']",0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.actamat.2016.01.018
HfTaTiZr,"['Hf', 'Ta', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1002/adma.201701678
Mo0.1NbTiV0.3Zr,"['Mo', 'Nb', 'Ti', 'V', 'Zr']",0,0,0,0,0,0,0,0.294117647,0.088235294,0.294117647,0.029411765,0.294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.matdes.2015.06.072
